"","analysis","feature","index","rt","mz","intensity","area","rtmin","rtmax","mzmin","mzmax","adduct","mass","filled","filtered","filter","sn"
"29","01_ww_is_pos_blank-r001","mz287.045_rt910_f29",29,909.911,287.0451701,3072.51977539062,21614.2089881875,903.256,916.446,287.04458875,287.04603425,"[M+H]+",286.037894102825,FALSE,FALSE,NA,31
"30","01_ww_is_pos_blank-r001","mz303.178_rt910_f30",30,909.911,303.17773189,4432.75048828125,46871.7432277831,901.984,922.51,303.17737558,303.17811989,"[M+H]+",302.170455894641,FALSE,FALSE,NA,30
"31","01_ww_is_pos_blank-r001","mz378.237_rt910_f31",31,909.911,378.23747415,3277.19458007812,18932.3732600782,906.443,916.446,378.23690807,378.23914542,"[M+H]+",377.230198153979,FALSE,FALSE,NA,21
"32","01_ww_is_pos_blank-r001","mz397.22_rt910_f32",32,909.911,397.22035784,15555.5576171875,74358.1649950739,905.155,916.446,397.21985271,397.22085795,"[M+H]+",396.213081843631,FALSE,FALSE,NA,15555
"33","01_ww_is_pos_blank-r001","mz413.197_rt910_f33",33,909.911,413.19682494,22293.34375,127383.870845831,905.155,916.446,413.19649826,413.19729227,"[M+H]+",412.189548942522,FALSE,FALSE,NA,22292
"34","01_ww_is_pos_blank-r001","mz414.202_rt910_f34",34,909.911,414.20208417,6307.435546875,36238.9960627208,905.155,916.446,414.20106415,414.20297858,"[M+H]+",413.194808172749,FALSE,FALSE,NA,53
"35","01_ww_is_pos_blank-r001","mz419.214_rt910_f35",35,909.911,419.21405751,34328.35546875,189821.619483917,905.155,916.446,419.21377201,419.21437108,"[M+H]+",418.206781508275,FALSE,FALSE,NA,34327
"36","01_ww_is_pos_blank-r001","mz420.217_rt910_f36",36,909.911,420.2171256,5948.2470703125,31553.8605137329,905.155,914.977,420.21487706,420.21830336,"[M+H]+",419.209849596478,FALSE,FALSE,NA,5947
"37","01_ww_is_pos_blank-r001","mz428.161_rt910_f37",37,909.911,428.16120712,7251.568359375,33929.6130445364,905.155,916.446,428.16018329,428.16252155,"[M+H]+",427.153931120911,FALSE,FALSE,NA,207
"38","01_ww_is_pos_blank-r001","mz429.168_rt910_f38",38,909.911,429.16814979,6202.32421875,32576.3558022766,905.155,914.977,429.16681241,429.16869095,"[M+H]+",428.160873793278,FALSE,FALSE,NA,235
"39","01_ww_is_pos_blank-r001","mz392.75_rt911_f39",39,911.395,392.74998878,13904.802734375,86179.4907593149,905.155,916.446,392.74927144,392.75041905,"[M+H]+",391.742712776502,FALSE,FALSE,NA,354
"40","01_ww_is_pos_blank-r001","mz393.251_rt911_f40",40,911.395,393.25092875,5733.61279296875,34301.5950456615,905.155,916.446,393.25033034,393.2515193,"[M+H]+",392.243652753063,FALSE,FALSE,NA,5733
"41","01_ww_is_pos_blank-r001","mz395.228_rt911_f41",41,911.395,395.22779586,21933.283203125,140893.143864636,905.155,917.982,395.22694002,395.22842566,"[M+H]+",394.220519861736,FALSE,FALSE,NA,105
"42","01_ww_is_pos_blank-r001","mz395.729_rt911_f42",42,911.395,395.72937611,9491.8251953125,54743.1490665604,905.155,916.446,395.72830466,395.73019711,"[M+H]+",394.722100109116,FALSE,FALSE,NA,67
"43","01_ww_is_pos_blank-r001","mz401.262_rt911_f43",43,911.395,401.26199985,5070.318359375,34280.1636065505,905.155,917.982,401.26088614,401.26410201,"[M+H]+",400.254723848982,FALSE,FALSE,NA,88
"44","01_ww_is_pos_blank-r001","mz403.741_rt911_f44",44,911.395,403.74135266,13950.767578125,97549.6024377873,905.155,917.982,403.74047698,403.74170207,"[M+H]+",402.734076660397,FALSE,FALSE,NA,99
"45","01_ww_is_pos_blank-r001","mz404.242_rt911_f45",45,911.395,404.2418653,6604.423828125,40616.643437223,905.155,917.982,404.24099139,404.24262435,"[M+H]+",403.23458929532,FALSE,FALSE,NA,68
"46","01_ww_is_pos_blank-r001","mz237.158_rt914_f46",46,913.93,237.15814027,4675.28515625,28550.8078034051,908.728,917.982,237.15725506,237.15901194,"[M+H]+",236.150864271956,FALSE,FALSE,NA,25
"47","01_ww_is_pos_blank-r001","mz293.184_rt914_f47",47,913.93,293.18379995,4381.9375,28707.2130809232,907.552,917.982,293.18331569,293.18473964,"[M+H]+",292.176523947011,FALSE,FALSE,NA,31
"48","01_ww_is_pos_blank-r001","mz415.265_rt914_f48",48,913.93,415.26462476,6821.72216796875,38622.0540106996,909.911,920.902,415.26380175,415.26598404,"[M+H]+",414.257348761021,FALSE,FALSE,NA,6821
"49","01_ww_is_pos_blank-r001","mz417.241_rt914_f49",49,913.93,417.2412693,19019.337890625,114977.467831056,908.728,920.902,417.24093136,417.24181365,"[M+H]+",416.23399329631,FALSE,FALSE,NA,235
"50","01_ww_is_pos_blank-r001","mz417.743_rt914_f50",50,913.93,417.74348316,7660.0625,40937.3923002933,908.728,920.902,417.74240004,417.74445063,"[M+H]+",416.736207164011,FALSE,FALSE,NA,191
"51","01_ww_is_pos_blank-r001","mz423.778_rt914_f51",51,913.93,423.77809423,3820.1640625,25197.2901564789,907.552,920.902,423.77624082,423.77953351,"[M+H]+",422.770818232975,FALSE,FALSE,NA,43
"52","01_ww_is_pos_blank-r001","mz426.255_rt914_f52",52,913.93,426.255395,10681.5869140625,60468.0651393234,908.728,920.902,426.25438114,426.25654775,"[M+H]+",425.248119004383,FALSE,FALSE,NA,163
"53","01_ww_is_pos_blank-r001","mz428.233_rt914_f53",53,913.93,428.23291113,17981.62109375,77030.706350509,908.728,916.446,428.23088744,428.23568077,"[M+H]+",427.225635128864,FALSE,FALSE,NA,156
"54","01_ww_is_pos_blank-r001","mz274.229_rt915_f54",54,914.977,274.22913728,17050.6796875,113690.590598273,909.911,922.51,274.22833395,274.22962541,"[M+H]+",273.221861277206,FALSE,FALSE,NA,331
"55","01_ww_is_pos_blank-r001","mz275.237_rt915_f55",55,914.977,275.23650073,1594122.25,9887713.14431022,909.911,922.51,275.23596541,275.23714859,"[M+H]+",274.229224730267,FALSE,FALSE,NA,9688
"56","01_ww_is_pos_blank-r001","mz276.24_rt915_f56",56,914.977,276.23950802,238326.65625,1452669.60440049,909.911,922.51,276.23901206,276.240088,"[M+H]+",275.232232020924,FALSE,FALSE,NA,2004
"57","01_ww_is_pos_blank-r001","mz277.241_rt915_f57",57,914.977,277.24137722,21666.775390625,137581.819248402,909.911,922.51,277.24092655,277.24190087,"[M+H]+",276.234101220544,FALSE,FALSE,NA,871
"58","01_ww_is_pos_blank-r001","mz414.763_rt915_f58",58,914.977,414.76331637,14027.63671875,91712.0699826057,908.728,920.902,414.7626667,414.76433282,"[M+H]+",413.756040366848,FALSE,FALSE,NA,119
"59","01_ww_is_pos_blank-r001","mz423.276_rt915_f59",59,914.977,423.27630534,12268.11328125,71910.3977990728,908.728,920.902,423.27557147,423.27702696,"[M+H]+",422.269029344423,FALSE,FALSE,NA,157
"60","01_ww_is_pos_blank-r001","mz425.754_rt915_f60",60,914.977,425.75424608,25115.16015625,149770.304428875,908.728,920.902,425.75333835,425.75526472,"[M+H]+",424.746970078662,FALSE,FALSE,NA,25114
"61","01_ww_is_pos_blank-r001","mz227.128_rt918_f61",61,917.982,227.1283615,7315.8173828125,45572.6642860876,911.395,924.006,227.12757153,227.12950356,"[M+H]+",226.1210855033,FALSE,FALSE,NA,16
"62","01_ww_is_pos_blank-r001","mz244.155_rt918_f62",62,917.982,244.15453269,13196.408203125,88356.1225304587,911.395,924.006,244.1536088,244.15516238,"[M+H]+",243.147256694583,FALSE,FALSE,NA,16
"63","01_ww_is_pos_blank-r001","mz266.137_rt918_f63",63,917.982,266.13716111,77790.8203125,539635.91576795,912.345,925.52,266.13642086,266.13765226,"[M+H]+",265.129885106022,FALSE,FALSE,NA,277
"64","01_ww_is_pos_blank-r001","mz267.14_rt918_f64",64,917.982,267.14003672,8864.44140625,64619.6253929002,912.345,925.52,267.13930045,267.1415282,"[M+H]+",266.13276071768,FALSE,FALSE,NA,14
"65","01_ww_is_pos_blank-r001","mz282.111_rt918_f65",65,917.982,282.11122007,3515.0751953125,23071.8753077807,911.395,925.52,282.10987634,282.11261502,"[M+H]+",281.103944065534,FALSE,FALSE,NA,3514
"66","01_ww_is_pos_blank-r001","mz347.204_rt918_f66",66,917.982,347.20429708,5094.84716796875,51959.3415579552,906.443,932.143,347.20367195,347.20500485,"[M+H]+",346.197021080301,FALSE,FALSE,NA,17
"67","01_ww_is_pos_blank-r001","mz436.777_rt918_f67",67,917.982,436.77687247,13423.7138671875,79058.7540722347,912.345,924.006,436.77563145,436.77783563,"[M+H]+",435.769596471255,FALSE,FALSE,NA,120
"68","01_ww_is_pos_blank-r001","mz437.278_rt918_f68",68,917.982,437.27824286,6439.24853515625,38693.2511510472,912.345,925.52,437.27731607,437.2805549,"[M+H]+",436.270966860442,FALSE,FALSE,NA,6438
"69","01_ww_is_pos_blank-r001","mz439.255_rt918_f69",69,917.982,439.25467707,14502.845703125,83021.3675458684,911.395,924.006,439.25285213,439.2555781,"[M+H]+",438.247401068675,FALSE,FALSE,NA,61
"70","01_ww_is_pos_blank-r001","mz439.756_rt918_f70",70,917.982,439.75594289,5832.82177734375,33257.2153346933,912.345,925.52,439.75196578,439.75724289,"[M+H]+",438.748666887265,FALSE,FALSE,NA,116
"71","01_ww_is_pos_blank-r001","mz445.29_rt918_f71",71,917.982,445.28982007,14157.1171875,87426.189576221,912.345,924.006,445.28922088,445.29142665,"[M+H]+",444.28254406909,FALSE,FALSE,NA,171
"72","01_ww_is_pos_blank-r001","mz445.792_rt918_f72",72,917.982,445.79161233,5854.18359375,37495.6102747191,912.345,924.006,445.79013051,445.79348383,"[M+H]+",444.784336330442,FALSE,FALSE,NA,367
"73","01_ww_is_pos_blank-r001","mz447.767_rt918_f73",73,917.982,447.76742684,30731.23046875,188344.16027598,911.395,924.006,447.76614215,447.76854054,"[M+H]+",446.760150843583,FALSE,FALSE,NA,30730
"74","01_ww_is_pos_blank-r001","mz448.269_rt918_f74",74,917.982,448.26915349,13246.2734375,85163.2765404049,912.345,924.006,448.2671791,448.27027613,"[M+H]+",447.261877494878,FALSE,FALSE,NA,120
"75","01_ww_is_pos_blank-r001","mz237.158_rt924_f75",75,924.006,237.15787895,15755.7998046875,83305.0383778486,917.982,930.576,237.15700599,237.15835148,"[M+H]+",236.150602954377,FALSE,FALSE,NA,84
"76","01_ww_is_pos_blank-r001","mz240.121_rt924_f76",76,924.006,240.12101639,20858.685546875,119429.569054118,916.446,930.264,240.12037756,240.12156953,"[M+H]+",239.113740393109,FALSE,FALSE,NA,71
"77","01_ww_is_pos_blank-r001","mz284.148_rt924_f77",77,924.006,284.14756556,8767.0634765625,53494.971210663,917.982,930.264,284.14690988,284.14919043,"[M+H]+",283.140289556973,FALSE,FALSE,NA,53
"78","01_ww_is_pos_blank-r001","mz219.064_rt927_f78",78,927.172,219.0636183,2571.646484375,16984.1607163129,920.902,930.264,219.06296111,219.06423918,"[M+H]+",218.056342300709,FALSE,FALSE,NA,49
"79","01_ww_is_pos_blank-r001","mz280.153_rt927_f79",79,927.172,280.15304246,15603.4580078125,110560.815066984,916.446,933.475,280.15239875,280.15392659,"[M+H]+",279.145766459325,FALSE,FALSE,NA,49
"80","01_ww_is_pos_blank-r001","mz391.231_rt927_f80",80,927.172,391.23070671,4384.63818359375,41094.9000652016,914.977,938.498,391.2292846,391.23228748,"[M+H]+",390.223430709931,FALSE,FALSE,NA,28
"81","01_ww_is_pos_blank-r001","mz244.228_rt929_f81",81,928.612,244.2275597,4417.39501953125,25215.1052830125,922.51,933.475,244.22700456,244.22807715,"[M+H]+",243.220283698405,FALSE,FALSE,NA,16
"82","01_ww_is_pos_blank-r001","mz264.121_rt930_f82",82,930.264,264.12091019,41222.78515625,237633.94613112,922.51,935.34,264.12035534,264.12126117,"[M+H]+",263.113634192437,FALSE,FALSE,NA,139
"83","01_ww_is_pos_blank-r001","mz265.124_rt930_f83",83,930.264,265.12429525,5049.9228515625,26845.478512505,925.52,933.475,265.12349453,265.12467263,"[M+H]+",264.117019249019,FALSE,FALSE,NA,55
"84","01_ww_is_pos_blank-r001","mz327.229_rt930_f84",84,930.264,327.22862077,2923.3505859375,23886.5025829625,920.902,935.34,327.22791246,327.22966315,"[M+H]+",326.221344773997,FALSE,FALSE,NA,21
"85","01_ww_is_pos_blank-r001","mz300.178_rt932_f85",85,932.143,300.17828541,6235.65380859375,56789.6218328724,920.902,939.774,300.17739073,300.18131542,"[M+H]+",299.171009409903,FALSE,FALSE,NA,74
"86","01_ww_is_pos_blank-r001","mz366.286_rt932_f86",86,932.143,366.28608119,11888.798828125,123104.982680043,924.006,942.919,366.28558997,366.28710227,"[M+H]+",365.278805191627,FALSE,FALSE,NA,134
"87","01_ww_is_pos_blank-r001","mz367.289_rt932_f87",87,932.143,367.28919116,2053.95385742188,26050.1458068592,924.006,944.306,367.28672063,367.2912589,"[M+H]+",366.281915155555,FALSE,FALSE,NA,19
"88","01_ww_is_pos_blank-r001","mz230.139_rt933_f88",88,933.475,230.1387064,7502.71630859375,46264.4992333596,928.612,941.307,230.13814646,230.13903848,"[M+H]+",229.131430397182,FALSE,FALSE,NA,66
"89","01_ww_is_pos_blank-r001","mz252.121_rt933_f89",89,933.475,252.12085992,22512.50390625,142629.820924144,927.172,939.774,252.12013633,252.12128959,"[M+H]+",251.113583922896,FALSE,FALSE,NA,130
"90","01_ww_is_pos_blank-r001","mz392.252_rt933_f90",90,933.475,392.25157635,4859.3310546875,32013.1501398558,928.612,941.307,392.24814397,392.25244729,"[M+H]+",391.244300352585,FALSE,FALSE,NA,44
"91","01_ww_is_pos_blank-r001","mz435.257_rt933_f91",91,933.475,435.25673111,3151.57861328125,28117.9930932175,928.612,941.307,435.25575102,435.25841463,"[M+H]+",434.249455110874,FALSE,FALSE,NA,15
"92","01_ww_is_pos_blank-r001","mz234.11_rt935_f92",92,935.34,234.11045797,94840.3359375,538646.641012676,928.612,941.307,234.11004512,234.11083563,"[M+H]+",233.103181973156,FALSE,FALSE,NA,396
"93","01_ww_is_pos_blank-r001","mz235.114_rt935_f93",93,935.34,235.11351697,11226.05859375,62315.4851077308,928.612,941.307,235.11296543,235.11392926,"[M+H]+",234.106240966084,FALSE,FALSE,NA,11225
"94","01_ww_is_pos_blank-r001","mz222.11_rt937_f94",94,936.916,222.11034788,52945.8984375,292287.996589142,930.576,942.919,222.10969463,222.11078831,"[M+H]+",221.103071879365,FALSE,FALSE,NA,40
"95","01_ww_is_pos_blank-r001","mz217.122_rt938_f95",95,938.498,217.12195682,6165.63623046875,36168.237343837,932.143,944.306,217.12179021,217.12240869,"[M+H]+",216.114680822113,FALSE,FALSE,NA,47
"96","01_ww_is_pos_blank-r001","mz282.132_rt938_f96",96,938.498,282.13152229,12645.2998046875,102228.371226648,930.576,945.857,282.13107098,282.13214972,"[M+H]+",281.124246286264,FALSE,FALSE,NA,68
"97","01_ww_is_pos_blank-r001","mz351.225_rt940_f97",97,939.774,351.22528951,10078.61328125,70111.6751853505,933.475,945.857,351.22445099,351.22646932,"[M+H]+",350.218013507476,FALSE,FALSE,NA,42
"98","01_ww_is_pos_blank-r001","mz430.245_rt941_f98",98,941.307,430.24497073,130533.5546875,785789.341576168,933.475,947.353,430.24430332,430.24538763,"[M+H]+",429.237694734608,FALSE,FALSE,NA,1275
"99","01_ww_is_pos_blank-r001","mz431.248_rt941_f99",99,941.307,431.24820659,28468.875,173886.822468932,933.475,947.353,431.24720097,431.24877937,"[M+H]+",430.240930592254,FALSE,FALSE,NA,28468
"100","01_ww_is_pos_blank-r001","mz432.25_rt941_f100",100,941.307,432.24965657,4698.173828125,26500.4273476231,935.34,945.857,432.2487573,432.25013131,"[M+H]+",431.242380571891,FALSE,FALSE,NA,4697
"101","01_ww_is_pos_blank-r001","mz251.185_rt943_f101",101,942.919,251.18456364,3554.88745117188,24921.2466421187,933.475,949.005,251.18278575,251.18676722,"[M+H]+",250.177287642825,FALSE,FALSE,NA,16
"102","01_ww_is_pos_blank-r001","mz273.168_rt943_f102",102,942.919,273.16804552,144670.625,1553135.28942578,933.475,954.752,273.16776875,273.16830006,"[M+H]+",272.160769516259,FALSE,FALSE,NA,357
"103","01_ww_is_pos_blank-r001","mz274.171_rt943_f103",103,942.919,274.17122203,16369.28515625,198385.973053982,932.143,953.39,274.17089569,274.17192403,"[M+H]+",273.163946033106,FALSE,FALSE,NA,141
"104","01_ww_is_pos_blank-r001","mz275.173_rt943_f104",104,942.919,275.17318154,2642.60571289062,28879.1959854334,933.475,954.752,275.17204626,275.17345249,"[M+H]+",274.165905540906,FALSE,FALSE,NA,31
"105","01_ww_is_pos_blank-r001","mz285.217_rt944_f105",105,944.306,285.217323,2990.12524414062,21973.8973101564,936.916,951.913,285.21646076,285.21778587,"[M+H]+",284.210047002176,FALSE,FALSE,NA,48
"106","01_ww_is_pos_blank-r001","mz307.2_rt944_f106",106,944.306,307.19991524,22797.3515625,167371.542520996,936.916,950.704,307.19966325,307.20069051,"[M+H]+",306.192639244012,FALSE,FALSE,NA,22796
"107","01_ww_is_pos_blank-r001","mz227.128_rt946_f107",107,945.857,227.12812519,5384.56640625,37762.0539532918,938.498,951.913,227.12700435,227.12859061,"[M+H]+",226.120849192008,FALSE,FALSE,NA,20
"108","01_ww_is_pos_blank-r001","mz236.126_rt946_f108",108,945.857,236.1262596,28473.90625,175337.496396835,939.774,951.913,236.12561961,236.12670955,"[M+H]+",235.118983603386,FALSE,FALSE,NA,50
"109","01_ww_is_pos_blank-r001","mz244.155_rt946_f109",109,945.857,244.1546384,11374.6962890625,72725.057639716,938.498,951.913,244.15338457,244.1553398,"[M+H]+",243.147362403376,FALSE,FALSE,NA,26
"110","01_ww_is_pos_blank-r001","mz266.137_rt946_f110",110,945.857,266.13704337,12349.802734375,99605.4775914118,939.774,951.913,266.13638891,266.13786072,"[M+H]+",265.129767368067,FALSE,FALSE,NA,43
"111","01_ww_is_pos_blank-r001","mz317.194_rt946_f111",111,945.857,317.19425763,7168.109375,88313.6415598921,935.34,954.752,317.19334632,317.19497738,"[M+H]+",316.186981632745,FALSE,FALSE,NA,78
"112","01_ww_is_pos_blank-r001","mz228.233_rt947_f112",112,947.353,228.2328519,55939.6328125,389811.766624141,941.307,961.27,228.23219769,228.23335394,"[M+H]+",227.225575896912,FALSE,FALSE,NA,328
"113","01_ww_is_pos_blank-r001","mz316.213_rt947_f113",113,947.353,316.2127752,4970.47265625,30801.2705045647,941.307,953.39,316.21036124,316.21390626,"[M+H]+",315.205499201115,FALSE,FALSE,NA,31
"114","01_ww_is_pos_blank-r001","mz255.157_rt949_f114",114,949.005,255.15730171,7004.85205078125,35156.8339777448,942.919,953.39,255.15654085,255.15774444,"[M+H]+",254.150025705003,FALSE,FALSE,NA,99
"115","01_ww_is_pos_blank-r001","mz271.152_rt949_f115",115,949.005,271.151961,9157.1123046875,89457.3590976744,941.307,957.997,271.15096852,271.15301321,"[M+H]+",270.144684997028,FALSE,FALSE,NA,49
"116","01_ww_is_pos_blank-r001","mz356.28_rt951_f116",116,950.704,356.27955012,4018.00170898438,34755.0478565978,941.307,957.997,356.27886849,356.28033214,"[M+H]+",355.272274123344,FALSE,FALSE,NA,4017
"117","01_ww_is_pos_blank-r001","mz207.102_rt952_f117",117,951.913,207.10182489,11686.8984375,84303.8787677299,945.857,959.445,207.10153936,207.10231198,"[M+H]+",206.094548886097,FALSE,FALSE,NA,20
"118","01_ww_is_pos_blank-r001","mz224.126_rt952_f118",118,951.913,224.12648831,178408.078125,1060303.58488966,945.857,957.997,224.12617074,224.12699688,"[M+H]+",223.119212311815,FALSE,FALSE,NA,241
"119","01_ww_is_pos_blank-r001","mz225.129_rt952_f119",119,951.913,225.12932351,20592.1015625,120556.530079743,945.857,957.997,225.1288335,225.12978977,"[M+H]+",224.122047514001,FALSE,FALSE,NA,85
"120","01_ww_is_pos_blank-r001","mz242.139_rt952_f120",120,951.913,242.13888751,8683.8037109375,56338.9007755417,945.857,959.445,242.13815472,242.13963882,"[M+H]+",241.131611513365,FALSE,FALSE,NA,27
"121","01_ww_is_pos_blank-r001","mz264.121_rt952_f121",121,951.913,264.12102287,20723.412109375,131012.812237498,945.857,959.445,264.12025816,264.12163964,"[M+H]+",263.113746872214,FALSE,FALSE,NA,70
"122","01_ww_is_pos_blank-r001","mz361.22_rt953_f122",122,952.635,361.22015118,6150.3701171875,71364.186310318,942.919,968.867,361.21708758,361.22211422,"[M+H]+",360.212875183677,FALSE,FALSE,NA,59
"123","01_ww_is_pos_blank-r001","mz381.233_rt953_f123",123,953.39,381.23337077,3909.92578125,21681.7591289544,949.005,957.997,381.23074789,381.23539006,"[M+H]+",380.226094768415,FALSE,FALSE,NA,21
"124","01_ww_is_pos_blank-r001","mz210.147_rt956_f124",124,956.381,210.1469365,6752.412109375,38341.9987177735,949.005,962.793,210.14598337,210.14744621,"[M+H]+",209.139660498394,FALSE,FALSE,NA,15
"125","01_ww_is_pos_blank-r001","mz226.217_rt958_f125",125,957.997,226.21672059,11610.2607421875,82371.9116962748,927.172,984.824,226.21582728,226.2187573,"[M+H]+",225.209444589841,FALSE,FALSE,NA,86
"126","01_ww_is_pos_blank-r001","mz282.131_rt959_f126",126,959.445,282.13124996,5641.75439453125,39562.3307672681,951.913,967.355,282.13067387,282.13256973,"[M+H]+",281.12397395583,FALSE,FALSE,NA,30
"127","01_ww_is_pos_blank-r001","mz200.134_rt961_f127",127,961.27,200.1336028,5295.63720703125,35108.5926430257,954.752,968.867,200.13266274,200.1347604,"[M+H]+",199.126326803067,FALSE,FALSE,NA,34
